date,position,song,artist,popularity
2023-05-01,1,Tattoo,Loreen,84
2023-05-01,2,Queen of Kings,Alessandra,79
2023-05-01,3,Due Vite,Marco Mengoni,78
2023-05-01,4,Cha Cha Cha,Käärijä,74
2023-05-01,5,I Wrote A Song,Mae Muller,70
2023-05-01,6,Évidemment,La Zarra,70
2023-05-01,7,Solo,BLANKA,70
2023-05-01,8,Unicorn,Noa Kirel,68
2023-05-01,9,Burning Daylight,Mia Nicolai,68
2023-05-01,10,Who the Hell Is Edgar?,TEYA,67
2023-05-01,11,My Sister's Crown,Vesna,67
2023-05-01,12,Future Lover,Brunette,62
2023-05-01,13,Carpe Diem,Joker Out,62
2023-05-01,14,Because Of You,Gustaph,62
2023-05-01,15,Samo mi se spava,Luke Black,61
2023-05-01,16,EAEA,Blanca Paloma,61
2023-05-01,17,Watergun,Remo Forrer,61
2023-05-01,18,Heart of Steel - Eurovision Version,TVORCHI,60
2023-05-01,19,Soarele si Luna,Pasha Parfeni,60
2023-05-01,20,Ai Coração,Various Artists,60
2023-05-01,21,Breaking My Heart,Reiley,60
2023-05-01,22,Break a Broken Heart,Andrew Lambrou,60
2023-05-01,23,Bridges,ALIKA,59
2023-05-01,24,Echo - Eurovision 2023 - Georgia,Iru,58
2023-05-01,25,POWER,Diljá,58
2023-05-01,26,Promise,Voyager,58
2023-05-01,27,Dance (Our Own Party),The Busker,57
2023-05-01,28,Aijā,Sudden Lights,57
2023-05-01,29,Mama ŠČ!,Let 3,57
2023-05-01,30,We Are One,Wild Youth,56
2023-05-01,31,Blood & Glitter,Lord Of The Lost,56
2023-05-01,32,What They Say,Victor Vernicos,56
2023-05-01,33,Stay,Monika Linkyte,55
2023-05-01,34,Tell Me More,TuralTuranX,55
2023-05-01,35,D.G.T (Off And On),Theodor Andrei,54
2023-05-01,36,Duje (Fest 61-live version),Albina dhe familja Kelmendi,52
2023-05-01,37,Like an Animal,Piqued Jacks,51
