date,position,song,artist,popularity
2023-04-23,1,Tattoo,Loreen,85
2023-04-23,2,Queen of Kings,Alessandra,80
2023-04-23,3,Due Vite,Marco Mengoni,79
2023-04-23,4,Cha Cha Cha,Käärijä,74
2023-04-23,5,I Wrote A Song,Mae Muller,71
2023-04-23,6,Évidemment,La Zarra,70
2023-04-23,7,Solo,BLANKA,70
2023-04-23,8,Unicorn,Noa Kirel,69
2023-04-23,9,Who the Hell Is Edgar?,TEYA,68
2023-04-23,10,Burning Daylight,Mia Nicolai,68
2023-04-23,11,My Sister's Crown,Vesna,67
2023-04-23,12,Future Lover,Brunette,63
2023-04-23,13,Because Of You,Gustaph,63
2023-04-23,14,Carpe Diem,Joker Out,62
2023-04-23,15,Samo mi se spava,Luke Black,62
2023-04-23,16,EAEA,Blanca Paloma,62
2023-04-23,17,Heart of Steel - Eurovision Version,TVORCHI,61
2023-04-23,18,Soarele si Luna,Pasha Parfeni,61
2023-04-23,19,Watergun,Remo Forrer,61
2023-04-23,20,Breaking My Heart,Reiley,61
2023-04-23,21,Ai Coração,Various Artists,60
2023-04-23,22,Bridges,ALIKA,60
2023-04-23,23,Break a Broken Heart,Andrew Lambrou,60
2023-04-23,24,Promise,Voyager,59
2023-04-23,25,Echo - Eurovision 2023 - Georgia,Iru,58
2023-04-23,26,POWER,Diljá,58
2023-04-23,27,Dance (Our Own Party),The Busker,58
2023-04-23,28,Aijā,Sudden Lights,58
2023-04-23,29,Mama ŠČ!,Let 3,58
2023-04-23,30,We Are One,Wild Youth,57
2023-04-23,31,Blood & Glitter,Lord Of The Lost,57
2023-04-23,32,Stay,Monika Linkyte,56
2023-04-23,33,What They Say,Victor Vernicos,56
2023-04-23,34,Tell Me More,TuralTuranX,55
2023-04-23,35,D.G.T (Off And On),Theodor Andrei,55
2023-04-23,36,Duje (Fest 61-live version),Albina dhe familja Kelmendi,52
2023-04-23,37,Like an Animal,Piqued Jacks,49
