date,position,song,artist,popularity
2023-04-27,1,Tattoo,Loreen,85
2023-04-27,2,Queen of Kings,Alessandra,80
2023-04-27,3,Due Vite,Marco Mengoni,79
2023-04-27,4,Cha Cha Cha,Käärijä,74
2023-04-27,5,I Wrote A Song,Mae Muller,71
2023-04-27,6,Évidemment,La Zarra,70
2023-04-27,7,Solo,BLANKA,70
2023-04-27,8,Unicorn,Noa Kirel,68
2023-04-27,9,Burning Daylight,Mia Nicolai,68
2023-04-27,10,Who the Hell Is Edgar?,TEYA,67
2023-04-27,11,My Sister's Crown,Vesna,67
2023-04-27,12,Future Lover,Brunette,63
2023-04-27,13,Because Of You,Gustaph,63
2023-04-27,14,Carpe Diem,Joker Out,62
2023-04-27,15,EAEA,Blanca Paloma,62
2023-04-27,16,Heart of Steel - Eurovision Version,TVORCHI,61
2023-04-27,17,Soarele si Luna,Pasha Parfeni,61
2023-04-27,18,Samo mi se spava,Luke Black,61
2023-04-27,19,Watergun,Remo Forrer,61
2023-04-27,20,Ai Coração,Various Artists,60
2023-04-27,21,Bridges,ALIKA,60
2023-04-27,22,Breaking My Heart,Reiley,60
2023-04-27,23,Break a Broken Heart,Andrew Lambrou,60
2023-04-27,24,Promise,Voyager,59
2023-04-27,25,Echo - Eurovision 2023 - Georgia,Iru,58
2023-04-27,26,POWER,Diljá,58
2023-04-27,27,Dance (Our Own Party),The Busker,58
2023-04-27,28,Aijā,Sudden Lights,58
2023-04-27,29,Mama ŠČ!,Let 3,58
2023-04-27,30,We Are One,Wild Youth,57
2023-04-27,31,Blood & Glitter,Lord Of The Lost,57
2023-04-27,32,Stay,Monika Linkyte,56
2023-04-27,33,What They Say,Victor Vernicos,56
2023-04-27,34,Tell Me More,TuralTuranX,55
2023-04-27,35,D.G.T (Off And On),Theodor Andrei,55
2023-04-27,36,Duje (Fest 61-live version),Albina dhe familja Kelmendi,52
2023-04-27,37,Like an Animal,Piqued Jacks,50
