date,position,country,song,winning chance,BET365,UNIBET,COOL BET,BETFAIR SPORT,SKY BET, BETSSON ,COMEON,BOYLE SPORTS,LAD BROKES,10BET, * SMARKETS,888 SPORT,BET FRED,BETWAY, WILLIAM  HILL,BWIN,BETFAIR*  EXCHANGE 
2023-03-28,1,Sweden,Loreen - Tattoo,39%,1.8,1.75,1.9,2,1.91,1.85,1.8,1.8,1.73,1.8,1.98,1.83,1.8,1.91,1.91,1.8,2.08
2023-03-28,2,Finland,Käärijä - Cha Cha Cha,15%,5,4.25,4.5,6,5,4.25,4,4.5,5,4,6.2,5,5.5,4.5,5,5,6.6
2023-03-28,3,Ukraine,Tvorchi - Heart of Steel,11%,6.5,7.5,6,6.5,6.5,7,6,6,6,6,6.6,5.5,6,7.5,6,7,8.2
2023-03-28,4,Norway,Alessandra - Queen of Kings,6%,13,11,13,13,12,11,13,15,15,13,17,13,11,15,13,13,19
2023-03-28,5,Spain,Blanca Paloma - Eaea,4%,15,18,17,15,19,20,15,17,21,15,20,17,19,15,17,17,22
2023-03-28,6,Israel,Noa Kirel - Unicorn,3%,23,26,23,26,26,25,21,21,21,21,26,21,21,21,21,17,34
2023-03-28,7,Czechia,Vesna - My Sister's Crown,3%,23,31,23,23,26,25,26,34,29,26,29,23,26,26,26,34,34
2023-03-28,8,United Kingdom,Mae Muller - I Wrote A Song,2%,41,41,61,41,34,40,34,23,26,34,55,26,26,26,26,34,70
2023-03-28,9,Austria,Teya & Salena - Who The Hell Is Edgar?,2%,41,41,41,41,41,40,34,34,29,34,50,26,34,41,41,34,60
2023-03-28,10,France,La Zarra - Évidemment,2%,51,51,51,51,41,50,41,41,41,41,75,34,41,34,41,51,85
2023-03-28,11,Armenia,Brunette - Future Lover,1%,51,81,81,67,81,75,51,51,51,51,95,51,67,41,51,34,100
2023-03-28,12,Italy,Marco Mengoni - Due vite,1%,67,81,51,81,67,65,51,67,51,51,95,34,51,51,67,51,110
2023-03-28,13,Georgia,Iru - Echo,1%,81,81,81,101,101,70,67,67,67,67,140,41,34,81,67,67,150
2023-03-28,14,Switzerland,Remo Forrer - Watergun,1%,81,101,81,101,81,80,67,67,81,67,120,41,67,67,67,101,150
2023-03-28,15,Serbia,Luke Black - Samo mi se spava,1%,101,101,81,151,126,100,101,101,81,101,250,101,101,101,101,101,250
2023-03-28,16,Croatia,Let 3 - Mama ŠČ!,1%,126,101,101,151,126,120,101,101,101,101,250,101,101,101,101,101,260
2023-03-28,17,Moldova,Pasha Parfeni - Soarele și Luna,1%,126,101,101,151,151,125,101,126,101,101,250,101,101,126,101,101,230
2023-03-28,18,Australia,Voyager - Promise,1%,126,201,101,101,151,150,101,126,151,101,220,101,101,126,101,101,230
2023-03-28,19,Netherlands,Nicolai & Cooper - Burning Daylight,1%,151,151,101,151,151,150,151,126,151,151,220,101,101,151,151,101,230
2023-03-28,20,Germany,Lord Of The Lost - Blood & Glitter,1%,101,201,126,151,151,150,151,126,101,151,250,101,201,151,101,101,230
2023-03-28,21,Slovenia,Joker Out - Carpe Diem,<1%,126,151,151,151,151,100,101,201,101,101,270,151,201,251,126,101,290
2023-03-28,22,Estonia,Alika - Bridges,<1%,151,201,101,201,201,150,201,151,201,201,270,51,201,201,151,101,250
2023-03-28,23,Iceland,Diljá - Power,<1%,251,201,151,201,201,150,201,201,201,201,280,101,201,151,201,101,730
2023-03-28,24,Ireland,Wild Youth - We Are One,<1%,251,251,301,151,301,250,151,67,151,151,280,101,201,201,101,101,620
2023-03-28,25,Poland,Blanka - Solo,<1%,201,201,201,201,251,150,201,151,201,201,280,201,201,151,201,101,400
2023-03-28,26,Portugal,Mimicat - Ai Coração,<1%,251,201,251,201,301,250,201,201,201,201,280,101,201,201,151,101,450
2023-03-28,27,Azerbaijan,TuralTuranX - Tell Me More,<1%,251,201,301,251,301,250,151,201,201,151,290,101,201,151,251,101,890
2023-03-28,28,Greece,Victor Vernicos - What They Say,<1%,251,251,251,201,301,250,201,201,201,201,280,101,201,201,251,101,550
2023-03-28,29,Denmark,Reiley - Breaking My Heart,<1%,251,251,251,201,301,250,201,251,201,201,280,101,201,201,201,101,800
2023-03-28,30,Cyprus,A. Lambrou - Break a Broken Heart,<1%,251,251,201,201,301,250,201,201,201,201,280,251,201,201,251,101,220
2023-03-28,31,Malta,The Busker - Dance (Our Own Party),<1%,251,251,301,251,501,200,201,201,201,201,290,151,201,251,201,101,1000
2023-03-28,32,Belgium,Gustaph - Because of You,<1%,251,251,301,251,401,250,251,251,201,251,290,151,201,251,201,101,1000
2023-03-28,33,San Marino,Piqued Jacks - Like An Animal,<1%,251,251,301,251,501,250,251,251,251,251,290,151,201,301,151,101,1000
2023-03-28,34,Lithuania,Monika Linkytė - Stay,<1%,251,501,301,251,501,250,251,201,201,251,290,101,201,251,251,101,1000
2023-03-28,35,Latvia,Sudden Lights - Aijā,<1%,251,501,301,251,501,250,251,251,251,251,290,151,201,176,251,101,1000
2023-03-28,36,Albania,Albina & Familja Kelmendi - Duje,<1%,301,251,301,251,501,300,251,201,251,251,290,201,201,301,251,301,1000
2023-03-28,37,Romania,Theodor Andrei - D.G.T. (Off and On),<1%,301,501,301,251,501,300,251,251,251,251,290,151,201,301,201,301,1000
